Invalid_Comments,keywords
per requirement venue type bar tile not show test not assign wake not bug feature r n r nfyi check comment update status closing defect per comment,"['requirement venue type bar tile', 'nfyi check comment update status', 'check comment update status closing', 'comment update status closing defect', 'requirement venue type bar', 'venue type bar tile', 'type bar tile not show', 'bar tile not show test', 'show test not assign wake', 'assign wake not bug feature', 'update status closing defect', 'nfyi check comment update', 'check comment update status', 'comment update status closing', 'status closing defect per comment', 'requirement venue type', 'venue type bar', 'type bar tile', 'bar tile not show', 'tile not show test']"
mrz used fetch data not value embedded hence thats something sailor always manually add r n clarify saying n n visa number n visa type n entry n nwill never read via ocr visa scan n n n nfyi n n yes correct cancelling not valid bug dc per defined ocr parameter issue cancelled per comment explanation ocr detail not part visa ocr,"['scan n n n nfyi', 'nfyi n n yes correct', 'clarify saying n n visa', 'defined ocr parameter issue cancelled', 'correct cancelling not valid bug', 'parameter issue cancelled per comment', 'issue cancelled per comment explanation', 'ocr detail not part visa', 'detail not part visa ocr', 'cancelled per comment explanation ocr', 'defined ocr parameter issue', 'ocr parameter issue cancelled', 'comment explanation ocr detail', 'explanation ocr detail not part', 'visa number n visa type', 'read via ocr visa scan', 'mrz used fetch data', 'visa type n entry', 'detail not part visa', 'sailor always manually add']"
duplicate duplicate,"['duplicate duplicate', 'duplicate']"
discussed last triage additional cta appears itinerary contains destination requires visa sailor need rule based calculated passport secondary doc going discus whether itinerary could generated would test feature ie dominical republic one destination help u adding changing rule rule engine cert mexico would require visa non u citizen non green card holder sailor fall rule should see option add another visa u thank n n yes test case tested thank n check sw team sailing used test update something need concerned r could reply maurice comment apology not checking attaching discussion happened sw team long back n n multiple visa n nfyi far remember descoped team development n n still need done n nif not let keep story future implementation requirement not valid anymore need confirmation working expected confirmed invalid defect n n need adding backlog future development itinerary europe,"['back n n multiple', 'long back n n multiple', 'destination help u adding', 'back n n multiple visa', 'visa non u citizen', 'defect n n need adding', 'itinerary could generated would test', 'discus whether itinerary could generated', 'destination help u adding changing', 'require visa non u citizen', 'cta appears itinerary contains destination', 'backlog future development itinerary europe', 'green card holder sailor fall', 'adding backlog future development itinerary', 'based calculated passport secondary doc', 'confirmation working expected confirmed invalid', 'working expected confirmed invalid defect', 'card holder sailor fall rule', 'rule based calculated passport secondary', 'adding changing rule rule engine']"
duplicate updating issue canceling duplicate scheduled,"['updating issue canceling duplicate scheduled', 'duplicate updating issue canceling duplicate', 'issue canceling duplicate scheduled', 'duplicate updating issue canceling', 'updating issue canceling duplicate', 'canceling duplicate scheduled', 'updating issue canceling', 'duplicate updating issue', 'issue canceling duplicate', 'duplicate scheduled', 'updating issue', 'issue canceling', 'duplicate updating', 'canceling duplicate', 'scheduled', 'duplicate', 'updating', 'issue', 'canceling']"
p bug client must resolved w sprint r n r nthanks cm issue edge card not visible right get new image card wrong proportion big size transparent margin edge broke port card device n n n n n n partner look task description discussion n n n quote port landing x n port card expected x x actual x x expected file type jpeg n n map expected x x actual x expected file type quote n n ncurrently one partially meet expected int env miami port not client side optimization scaling cropping improve performance margin picture not expected zeplin design share cm api call used could dc team download app int check missing image r ncan check figure wrong r n r nthank moving x no bandwidth sprint verify n n r nplease refer comment r n partner shalini garg look task description discussion landing x r port card expected x x actual x x expected file type jpeg r nfor map expected x x actual x expected file type r ncurrently one partially meet expected int env miami port not client side optimization scaling cropping improve performance r n r nplease arrange provide correct sized image work device r n port landing x r port card expected x x actual x x expected file type jpeg r nfor map expected x x actual x expected file type r n r ncurrently one partially meet expected int env miami port check content side make separate ticket address image resizes like keep bug ticket resolve issue n ni link ticket bug produce n n n nalso see team expect pngs map produced svgs understood should produce n n should produce pngs map n nside note likely heavier svg n n also confirm port card should n nx ar x time produce jpegs n n question confirm drop shadow implemented edge curved see design port card should x ar tablet already time according ui stickersheet,"['jpegs n n question', 'issue n ni link', 'comment r n partner', 'quote n n ncurrently', 'verify n n r nplease', 'svg n n also confirm', 'produce n n n nalso', 'discussion n n n quote', 'sprint r n r nthanks', 'wrong r n r nthank', 'performance r n r nplease', 'jpeg n n map', 'produce n n should produce', 'device r n port', 'card should x ar tablet', 'landing x n port', 'type r n r ncurrently', 'jpegs n n question confirm', 'resolve issue n ni link', 'produce jpegs n n question']"
expected behavior not sugar mommy daddy defined payment task must partially completed add understanding sailor declared sugar baby perspective rts task complete purpose declaration understand not mean green laned embarkation n nfyi brought topic slt not sugar mommy daddy defined payment task must partially completed not sugar mommy daddy defined fully checked n n n ntherefore not bug working expected n n canceling bug working expected per slt review,"['expected n n canceling', 'checked n n n ntherefore', 'sugar mommy daddy defined payment', 'mommy daddy defined payment task', 'sugar mommy daddy defined fully', 'mommy daddy defined fully checked', 'partially completed add understanding sailor', 'sugar baby perspective rts task', 'understanding sailor declared sugar baby', 'add understanding sailor declared sugar', 'sailor declared sugar baby perspective', 'declared sugar baby perspective rts', 'sugar mommy daddy defined', 'completed add understanding sailor declared', 'perspective rts task complete purpose', 'baby perspective rts task complete', 'rts task complete purpose declaration', 'task complete purpose declaration understand', 'mommy daddy defined payment', 'daddy defined payment task']"
discussed done per current website production phase mean r n search removed r n tab added provided cm team r n background fpo coming cm agree pooja deprioritizing issue good cancel need draft story making change module thought gent assigning tix back adam detail tix n ni revised ticket design focused reassigning back dc resolve n ni creating separate ticket search global removed messenger assigning next sprint giving plan work ui team r nthis related help support need handled updating priority based jira assigning next sprint review planning not reproduced n fixed earlier n fixed n should assigned cm team should receive word span tag make red n fixed n should assigned backend team not get related article n question must sent cm team n n assigned sprint since still committed status n provide update npoint scope point fixed part another bug fix uid updated respective asset nplease assign appropriate person verification retest r n r nfyi tested mostly good go open question n n missing back arrow n something isn still assigned asking question reassign person,"['search removed r n tab', 'removed r n tab', 'team r n background', 'tix n ni revised', 'question n n missing', 'retest r n r nfyi', 'team not get related', 'phase mean r n search', 'team r n background fpo', 'question must sent cm team', 'team n n assigned', 'fixed n should assigned', 'detail tix n ni revised', 'tix n ni revised ticket', 'work ui team r nthis', 'backend team not get related', 'team not get related article', 'open question n n missing', 'isn still assigned asking question', 'question n n missing back']"
agreed per today demo n clarity should updating design match new requirement time sailor chat descoped not sending notification recommendation not next feedback selection privacy opting wearable collecting data not possible sailor need go sailor service get traditional key card cancel issue based latest comment r n pls work alfie updating documentation thanks canceling based experience requirement deferred scoping,"['feedback selection privacy opting wearable', 'selection privacy opting wearable collecting', 'privacy opting wearable collecting data', 'traditional key card cancel issue', 'based experience requirement deferred scoping', 'key card cancel issue based', 'card cancel issue based latest', 'cancel issue based latest comment', 'pls work alfie updating documentation', 'canceling based experience requirement deferred', 'requirement time sailor chat descoped', 'experience requirement deferred scoping', 'chat descoped not sending notification', 'descoped not sending notification recommendation', 'feedback selection privacy opting', 'selection privacy opting wearable', 'privacy opting wearable collecting', 'opting wearable collecting data', 'service get traditional key card', 'traditional key card cancel']"
defect not valid overlay referenced actually variation asset used test content updated changed cm n ni cancelling defect accordingly,"['valid overlay referenced actually variation', 'overlay referenced actually variation asset', 'variation asset used test content', 'asset used test content updated', 'test content updated changed', 'defect not valid overlay referenced', 'valid overlay referenced', 'overlay referenced actually variation', 'referenced actually variation asset', 'variation asset used test', 'asset used test content', 'test content updated', 'content updated changed', 'defect not valid overlay', 'valid overlay', 'overlay referenced', 'referenced actually variation', 'variation asset', 'asset used test', 'test content']"
didnt understand bug see screenshot breakfast filter coming current meal period breakfast displayed r n r nfyi,"['filter coming current meal period', 'screenshot breakfast filter coming current', 'breakfast filter coming current meal', 'coming current meal period breakfast', 'current meal period breakfast displayed', 'didnt understand bug see screenshot', 'filter coming current meal', 'coming current meal period', 'bug see screenshot breakfast filter', 'screenshot breakfast filter coming', 'breakfast filter coming current', 'meal period breakfast displayed', 'understand bug see screenshot breakfast', 'current meal period breakfast', 'didnt understand bug', 'understand bug see screenshot', 'filter coming current', 'coming current meal', 'current meal period', 'bug see screenshot breakfast']"
issue not reproducible u let know following thing device model number resolution testing r n r n issue observed vv device n n ndevice umigidi n nmodel power n nresolution screen ratio x resolution,"['device n n ndevice', 'device n n ndevice umigidi', 'thing device model number resolution', 'device model number resolution testing', 'ndevice umigidi n nmodel power', 'nmodel power n nresolution screen', 'power n nresolution screen ratio', 'thing device model number', 'model number resolution testing', 'device model number resolution', 'nresolution screen ratio x resolution', 'ndevice umigidi n nmodel', 'umigidi n nmodel power', 'nmodel power n nresolution', 'power n nresolution screen', 'nresolution screen ratio', 'thing device model', 'device model number', 'model number resolution', 'number resolution testing']"
cc due null package id addons like insurance oracle etl raised change request correct implemented tested dev moved prod future hence not defect,"['insurance oracle etl raised change', 'oracle etl raised change request', 'etl raised change request correct', 'raised change request correct implemented', 'change request correct implemented tested', 'request correct implemented tested dev', 'correct implemented tested dev moved', 'implemented tested dev moved prod', 'tested dev moved prod future', 'due null package id addons', 'addons like insurance oracle etl', 'insurance oracle etl raised', 'oracle etl raised change', 'etl raised change request', 'raised change request correct', 'change request correct implemented', 'request correct implemented tested', 'correct implemented tested dev', 'implemented tested dev moved', 'tested dev moved prod']"
n nthanks n nc discussed flow call not changing flow yet see possible option yes understood marked high not urgent blocker n nthanks n nc update ticket r n r nthanks technically redundant due agreed implementation update guess need reject close r nthanks r nc r n r n fyi yes let close,"['nthanks n nc discussed', 'nthanks n nc update', 'ticket r n r nthanks', 'nthanks n nc discussed flow', 'nthanks n nc update ticket', 'nthanks technically redundant due agreed', 'technically redundant due agreed implementation', 'due agreed implementation update guess', 'redundant due agreed implementation update', 'nthanks technically redundant due', 'option yes understood marked high', 'understood marked high not urgent', 'marked high not urgent blocker', 'technically redundant due agreed', 'redundant due agreed implementation', 'discussed flow call not changing', 'due agreed implementation update', 'agreed implementation update guess', 'implementation update guess need reject', 'flow call not changing flow']"
n nthanks n nc duplicate should close one r n closing ticket duplicate r nthanks r nc cancelled n nthanks n nc,"['nthanks n nc duplicate', 'nthanks r nc cancelled', 'close one r n closing', 'closing ticket duplicate r nthanks', 'closing ticket duplicate', 'ticket duplicate r nthanks', 'closing ticket', 'ticket duplicate', 'cancelled n nthanks', 'nthanks', 'duplicate should close', 'duplicate', 'duplicate r nthanks', 'close', 'closing', 'ticket', 'cancelled']"
apology content publishing task et know convert n nthanks n nc note not case access key n n screenshot n nthanks n nc check campaign update assigning vxp related architecture needed vxp integration logic flow item fixed strategy integration change bug created linked bug confirmation final strategy meeting discus strategy scheduled th sept sprint assigned based meeting outcome issue r ncan trace one yes canceling duplicate work done implementation change story r n r nplease defer close,"['key n n screenshot', 'story r n r nplease', 'access key n n screenshot', 'check campaign update assigning vxp', 'campaign update assigning vxp related', 'update assigning vxp related architecture', 'created linked bug confirmation final', 'sept sprint assigned based meeting', 'sprint assigned based meeting outcome', 'assigned based meeting outcome issue', 'assigning vxp related architecture needed', 'integration logic flow item fixed', 'related architecture needed vxp integration', 'architecture needed vxp integration logic', 'vxp related architecture needed vxp', 'needed vxp integration logic flow', 'vxp integration logic flow item', 'bug created linked bug confirmation', 'logic flow item fixed strategy', 'integration change bug created linked']"
duplicate canceling duplicate,"['duplicate canceling duplicate', 'duplicate canceling', 'canceling duplicate', 'duplicate', 'canceling']"
encountered issue via another route io r n item failed sprint goal moving next sprint also non compliance part assignee team make sure update work item unable test due testing cert release bug fix n n select fly n select airline flight number doesn seem validation fake flight number used accepted ba n timeslot selected n parking selected n slot confirmed n one last thing skipped n nreturn partially complete task see screen capture n n return partially completed task n returned planning park error user should returned one last thing n b previously selected timeslot dropped n user selects yes park n user accepts embarkation card timeslot blank tick within cta missing n user skip one thing n user return partially completed task n repeat n nadditional issue n n user follows path selects no last thing n user returned porthole task incorrectly tagged partially complete n user return task issue continues n n febcc c c cdecbed n n ba ac n n r n r nselect fly r nselect airline flight number doesn seem validation fake flight number used accepted ba r n color f well ba actual flight british airway ba london lisbon color r ntimeslot selected r nparking selected r nslot confirmed r none last thing skipped r nreturn partially complete task see screen capture r n color f expected behavior since one last thing mandatory completed user color r n r nreturn partially completed task r nreturned planning park error user should returned one last thing n b previously selected timeslot dropped r n color f case user should returned review screen variation not one last thing screen bug fix next release returning first incomplete step track color r nuser selects yes park r nuser accepts embarkation card timeslot blank tick within cta missing r n color f due skip one thing r nuser return partially completed task r nrepeat r n r nadditional issue r nuser follows path selects no last thing r nuser returned porthole task incorrectly tagged partially complete r nuser return task issue continues r n color f tracked suggest closing ticket bad confused issue multiple comment reassess raise individual report outstanding issue redo full end end testing week retest latest build,"['selects no last thing', 'color f well ba actual', 'continues n n febcc', 'route io r n item', 'nrepeat r n r nadditional', 'returned one last thing', 'behavior since one last thing', 'variation not one last thing', 'fix n n select', 'capture n n return', 'capture r n color', 'dropped r n color', 'missing r n color', 'continues r n color', 'accepted ba n timeslot', 'confirmed r none last thing', 'accepted ba r n color', 'issue n n user', 'color r n r nreturn', 'thing n b previously']"
discus update bug nwe waiting final confirmation cancelling bug cancelled cancelled per discussion done,"['discus update bug nwe waiting', 'nwe waiting final confirmation cancelling', 'update bug nwe waiting final', 'bug nwe waiting final confirmation', 'waiting final confirmation cancelling bug', 'final confirmation cancelling bug cancelled', 'confirmation cancelling bug cancelled cancelled', 'discus update bug nwe', 'nwe waiting final confirmation', 'update bug nwe waiting', 'bug nwe waiting final', 'final confirmation cancelling bug', 'confirmation cancelling bug cancelled', 'cancelling bug cancelled cancelled', 'discus update bug', 'nwe waiting final', 'waiting final confirmation', 'final confirmation cancelling', 'bug cancelled cancelled per discussion', 'update bug nwe']"
upgraded blocker release impact payment n ni cant see sailing date validate assume not within day sailing window n nthanks n nc slacked earlier double check sailing observing issue sailing day not see option hr hold payment not able reproduce review update sprint retested safe see pay full hour breather day show option hour breather deposit pay full see pay full closed assuming business rule place clarify,"['sailing day not see option', 'day not see option', 'assuming business rule place clarify', 'pay full closed assuming business', 'upgraded blocker release impact payment', 'hour breather deposit pay full', 'reproduce review update sprint retested', 'review update sprint retested safe', 'closed assuming business rule place', 'full closed assuming business rule', 'option hour breather deposit pay', 'show option hour breather deposit', 'pay full hour breather day', 'full hour breather day show', 'earlier double check sailing observing', 'slacked earlier double check sailing', 'double check sailing observing issue', 'breather day show option hour', 'day show option hour breather', 'hour breather day show option']"
duplicate,['duplicate']
per calculation day th sep rd jan day bug invalid,"['jan day bug invalid', 'sep rd jan day bug', 'day bug invalid', 'sep rd jan day', 'jan day bug', 'bug invalid', 'calculation day th sep', 'day th sep rd jan', 'sep rd jan', 'calculation day', 'jan day', 'day bug', 'invalid', 'day th sep', 'day', 'calculation', 'sep', 'jan', 'bug']"
issue share plan get fixed fixed sept th release not able check attachment r n additionally space not developed yet delivered future sprint not urgent priority checked sprint demo well r n r n try window able open winword reading saying cm ready sailorapp development future yes help user story bug raised cm story talk integration sailor app discussed triage issue tested done marking defect deferred,"['talk integration sailor app discussed', 'integration sailor app discussed triage', 'urgent priority checked sprint demo', 'sailor app discussed triage issue', 'app discussed triage issue tested', 'story talk integration sailor app', 'tested done marking defect deferred', 'window able open winword reading', 'talk integration sailor app', 'integration sailor app discussed', 'sailor app discussed triage', 'urgent priority checked sprint', 'ready sailorapp development future', 'app discussed triage issue', 'priority checked sprint demo', 'discussed triage issue tested', 'user story bug raised', 'story talk integration sailor', 'triage issue tested done marking', 'issue tested done marking defect']"
debug priority working till friday code drop friday started breaking r nwe need repro priority r nthis blocked code promotion prod planned thursday week r nalso want understand ee passing cert basic sailor app ar flow broken triaged issue need confirm venue trying book walk in open state issue also happening open venue need look try wake venue working fine refer video n n n nretest time date may n ni tried add sailor waitlist four different venue n n operational hour data not provided yet venue test kitchen color ff not able add sailor waitlist color n operation hour pm pm venue extra virgin color ff not able add sailor waitlist color n operation hour pm venue razzle dazzle color ff not able add sailor waitlist color n operation hour pm venue wake color able add sailor waitlist color n razzle dazzle n wake n test kitchen n extra virgin n add waitlist n n nso observation seen host should able add sailor waitlist regardless time venue table available n nplease let u know different understanding n nfyi according understand venue trying make walkin test kitchen extra virgin razzle dazzle actually closed session admin n ntested monday th n nthe wake session timing pm opened whole day n nextra virgin session timing pm pm n nthe test kitchen session timing pm pm n nrazzle dazzle session timing lunch pm dinner pm pm n nso reason walkin not made venue unlike wake refer video n n retested defect per n ntesting time pm date may n ninitially session timing pm pm time host not able add sailor waitlist admin change session time pm pm host able add sailor waitlist mean waitlist totally dependent session time refer video n n n nso explain expected behavior asking haven got user story related also nothing mentioned change release note n nfyi explanation make sense walk in added restaurant open point u story ac written explained r n r nalso guy able add walk irrespective operational hour release walk functionality working many sprint release behaviour noticed code drop able add sailor waitlist irrespective timing n nand also mentioned comment operational hour n n q n n also able add walk in irrespective operational hour team talking session timing yes not able add walk in session timing question functionality implemented bad wording meant session timing pls update bug title reflect exact issue right bug title simply say sailor not added waitlist one question expected create session beyond operational hour see operational hour fo razzle dazzle restaurant pm session timing lunch pm dinner pm pm think should not production scenario n nfyi closing issue raising session timing n n,"['nalso want understand ee passing', 'video n n retested', 'explained r n r nalso', 'time pm pm host', 'host not able add', 'video n n n nretest', 'dinner pm pm n nso', 'video n n n nso', 'venue need look try wake', 'waitlist n n nso', 'host should able add', 'venue n n operational', 'hour pm pm venue', 'timing pm pm n nrazzle', 'waitlist four different venue', 'timing pm pm n nthe', 'timing pm pm time', 'timing n nand also mentioned', 'timing yes not able add', 'video n n retested defect']"
fyi duplicate cancelled r n,"['fyi duplicate cancelled', 'fyi duplicate', 'duplicate cancelled', 'fyi', 'duplicate', 'cancelled']"
shared pif pip reservation detail may nd voyage email need cancel reservation inventory available voyage closing,"['shared pif pip reservation detail', 'shared pif pip reservation', 'pif pip reservation detail', 'email need cancel reservation inventory', 'voyage email need cancel reservation', 'reservation inventory available voyage closing', 'shared pif pip', 'cancel reservation inventory available voyage', 'pif pip reservation', 'pip reservation detail', 'voyage email need cancel', 'email need cancel reservation', 'cancel reservation inventory', 'inventory available voyage closing', 'shared pif', 'detail may nd voyage email', 'voyage closing', 'reservation detail may nd voyage', 'reservation inventory available voyage', 'pif pip']"
target assigned,"['target assigned', 'target', 'assigned']"
notification excursion chls n n primary sailor excursion notification not received n n secondary sailor book shore excursion,"['secondary sailor book shore excursion', 'secondary sailor book shore', 'sailor book shore excursion', 'primary sailor excursion notification', 'sailor excursion notification not received', 'secondary sailor book', 'sailor book shore', 'book shore excursion', 'notification excursion chls', 'primary sailor excursion', 'sailor excursion notification', 'excursion notification not received', 'book shore', 'chls n n primary sailor', 'received n n secondary sailor', 'primary sailor', 'secondary sailor', 'sailor book', 'excursion chls n n primary', 'excursion chls']"
cancelling non issue n n screenshot,"['cancelling non issue', 'cancelling', 'screenshot', 'issue n n screenshot', 'issue']"
analysis api object link video expected link n nattached s reference n n screenshot pm n ncc also animation prod think final asset n n believe final asset booking confirmation could confirm animation expected confirmed should animation white icon black background change based type booking thanks correct asset booking confirmation animation not static asset thanks asper comment restaurant booking confirmation animated video file ext type nplease make change ui reflect correct element screen n ncc done future story n duplicate n n n n n n neverything working u user provided close ticket fine requirement n ncc,"['asset n n believe final', 'correct asset booking confirmation animation', 'restaurant booking confirmation animated video', 'booking confirmation animated video file', 'asper comment restaurant booking confirmation', 'comment restaurant booking confirmation animated', 'background change based type booking', 'confirmation animated video file ext', 'analysis api object link video', 'object link video expected link', 'api object link video expected', 'black background change based type', 'animated video file ext type', 'video file ext type nplease', 'ext type nplease make change', 'animation white icon black background', 'white icon black background change', 'icon black background change based', 'file ext type nplease make', 'user provided close ticket fine']"
retest latest hot fix build,"['retest latest hot fix build', 'retest latest hot fix', 'latest hot fix build', 'retest latest hot', 'hot fix build', 'latest hot fix', 'retest latest', 'fix build', 'latest hot', 'hot fix', 'retest', 'build', 'latest', 'hot', 'fix']"
working designed notification page essential reminder privacy page removed n n requirement sprint able view notification privacy screen per design last sprint,"['working designed notification page essential', 'designed notification page essential reminder', 'essential reminder privacy page removed', 'notification page essential reminder privacy', 'page essential reminder privacy page', 'working designed notification page', 'notification page essential reminder', 'notification privacy screen per design', 'designed notification page essential', 'page essential reminder privacy', 'essential reminder privacy page', 'reminder privacy page removed', 'view notification privacy screen', 'working designed notification', 'requirement sprint able view notification', 'sprint able view notification privacy', 'page essential reminder', 'essential reminder privacy', 'privacy screen per design', 'notification page essential']"
duplicated issue,"['duplicated issue', 'duplicated', 'issue']"
hey actually placeholder content work image originally scheduled completed think round review brought new revision work life n nfrom testing perspective unblocked know not pretty n ncc isn blocking testing n n happy close ticket retest final content populated,"['testing n n happy', 'blocking testing n n happy', 'testing n n happy close', 'ticket retest final content populated', 'happy close ticket retest final', 'close ticket retest final content', 'work image originally scheduled completed', 'content work image originally scheduled', 'placeholder content work image originally', 'retest final content populated', 'image originally scheduled completed', 'originally scheduled completed think round', 'scheduled completed think round review', 'completed think round review brought', 'round review brought new revision', 'pretty n ncc isn blocking', 'happy close ticket retest', 'close ticket retest final', 'hey actually placeholder content work', 'review brought new revision work']"
wrong bug animation not applicable opening payment module outside app user not rts anymore help check bug able add animation faxco ui n nfyi assigned provide exact requirement fexco along change requested double back button still waiting design comp poke replace double back arrow linked current proposal sam ticket taking alfie later today n na flip design approved alfie updated design happy take guy question n nthe design uploaded zeplin n n full flow n screen nincomplete back back thanks sharing updated design particular defect also mention progress animation expected behavior credit card screen n n review updated design provided n ncan get username password access zeplin n nregards n npaul give zeplin access progression bar behaviour would n n st bar adding detail card n nd bar hotting done completing adding card flow n na n nthe rts design delivered based original requirement per n ni currently documenting required change issue vv team approval via change managed story rather bug n nregards n npaul n nfyi,"['flow n na n nthe', 'screen n n review', 'card n nd bar', 'zeplin n n full', 'story rather bug n nregards', 'detail card n nd bar', 'card n nd bar hotting', 'uploaded zeplin n n full', 'card screen n n review', 'zeplin n n full flow', 'screen n n review updated', 'design approved alfie updated design', 'approved alfie updated design happy', 'flip design approved alfie updated', 'nthe rts design delivered based', 'change requested double back button', 'npaul give zeplin access progression', 'design comp poke replace double', 'zeplin access progression bar behaviour', 'give zeplin access progression bar']"
changing status backlog vv assign sprint dc update status confirm coming cm nwe use uid ui title n check data not coming cm n ni see come n n wearabledelivery travelpartymemberdeliverydetailsprohibitedcountryheadline n text band delivery n type plaintext n n hello nkindly ask help correct uid use confusion internally use ui thanks already using believe not getting data cm r n r n check data uid available lower env environment specifically would like u check n n would mind taking look since don access bug created prod reverified cert good close not yeah definitely ready review yet ticket kicked back lee check busy developer confirmed using correct uid even not fix done ok ill check cert get working test user account sailing im currently blocked moment,"['specifically would like u check', 'plaintext n n hello nkindly', 'check n n would mind', 'uid ui title n check', 'nwe use uid ui title', 'ticket kicked back lee check', 'kicked back lee check busy', 'back lee check busy developer', 'lee check busy developer confirmed', 'bug created prod reverified cert', 'created prod reverified cert good', 'prod reverified cert good close', 'don access bug created prod', 'access bug created prod reverified', 'working test user account sailing', 'update status confirm coming', 'status confirm coming cm nwe', 'changing status backlog vv assign', 'kicked back lee check', 'back lee check busy']"
havent able duplicate issue qa try replicate side n n team try replicate issue cruise booking two sailor one take pic uploads profile seems like see wrong pic pls let u know thanks retested issue qa cert environment build number n ni created booking two sailor n jhon douglous jhon douglous account created sf n n harry kim harry kim n nbooking id profile pic uploaded sailor n not reflecting sailor ni not able reproduce issue qa nenvironment n n not reproducible n n aca f ba fdbc tester unable reproduce,"['side n n team', 'reproducible n n aca', 'issue qa try replicate', 'number n ni created', 'sailor one take pic', 'booking two sailor n jhon', 'sailor n not reflecting', 'nenvironment n n not reproducible', 'created sf n n harry', 'sailor ni not able reproduce', 'duplicate issue qa try replicate', 'issue qa try replicate side', 'replicate side n n team', 'sailor one take pic uploads', 'build number n ni created', 'number n ni created booking', 'uploaded sailor n not reflecting', 'sailor n not reflecting sailor', 'jhon douglous jhon douglous account', 'douglous jhon douglous account created']"
related u removing chart j yes expect side effect able wait sergey back office next week address duplicate,"['office next week address duplicate', 'expect side effect able wait', 'side effect able wait sergey', 'effect able wait sergey back', 'wait sergey back office', 'sergey back office next week', 'back office next week address', 'related u removing chart', 'week address duplicate', 'removing chart j yes expect', 'chart j yes expect side', 'expect side effect', 'side effect able wait', 'effect able wait sergey', 'wait sergey back', 'sergey back office', 'back office next week', 'office next week address', 'related u removing', 'address duplicate']"
fix talking shiv explained error coming visionline not control vision line rejecting rfid nothing wms n nwe need understand vision line rejecting request given rfid also don think vision line allows u reuse rfid unassigned clarify vision line missing something also thought data issue mentioned comment n n use fresh wearable encoding not try n nin addition detail ticket misleading encoding failing not assignment verify uncheck include encoding checkbox assignment see success based analysis shiv thanks detailed analysis talking fixing wms not able assign card main business scenario wms failing right whether fix vision line need fixed business use wms cert r n r nare saying working fresh wearable let u know r n r n let u know external ticket talking vision line r n r n r n r n spoke perform test let wait result able conclude everything related ticket multiple issue reported analyzed related rd party data issue thanks good pas wms module next update current state n n n vision line work fine using fresh wearable n guest access card number not available db caused issue first issue n found issue something broken crew framework raising issue maxiru team n n thanks,"['cert r n r nare', 'encoding not try n nin', 'wms not able assign', 'comment n n use fresh', 'state n n n vision', 'request given rfid also don', 'fixing wms not able assign', 'wms not able assign card', 'rfid nothing wms n nwe', 'rfid also don think vision', 'issue first issue n found', 'control vision line rejecting rfid', 'understand vision line rejecting request', 'external ticket talking vision line', 'rfid unassigned clarify vision line', 'unassigned clarify vision line missing', 'reuse rfid unassigned clarify vision', 'thought data issue mentioned comment', 'related ticket multiple issue reported', 'detail ticket misleading encoding failing']"
since maxiru providing ui accessing swank api need raise issue maxiru escalate swank needed open support ticket swank email support zendesk support zendesk n n fyi include sample request response possible thanks following swank,"['fyi include sample request response', 'email support zendesk support zendesk', 'raise issue maxiru escalate swank', 'maxiru escalate swank needed open', 'issue maxiru escalate swank needed', 'needed open support ticket swank', 'escalate swank needed open support', 'swank needed open support ticket', 'open support ticket swank email', 'ticket swank email support zendesk', 'support ticket swank email support', 'swank email support zendesk support', 'fyi include sample request', 'include sample request response', 'api need raise issue maxiru', 'raise issue maxiru escalate', 'needed open support ticket', 'email support zendesk support', 'providing ui accessing swank api', 'accessing swank api need raise']"
increasing priority health check should enabled setting prior hour help check rule added rule engine n nthe health information tab voyage setting must open hour embarkation date time n n consider embarkationdatetime not embarkation date n nthen sync home page update planned yes fyi also reproduced stage build n n recording n n stage health check issue chrome inspect log har n n stage health check issue not yet completed still progress yup added working expected vv qa sailor app mobile v apk n n n ncan revalidate latest build retested build observed embarkation health check not enabled sailing document expected complete health form not enabled pre cruise working fine cert n n v june cert build n nattached video n nneed test stage verified prod issue exists r nrefer attachment r n embarkation health check credential used n n skgstagejune skgstagejune nskanth n n device used android n nverified stage build fe th june build observed embarkation health check sailing document enabled n nfunctionality not working expected fe tested fe tested issue qa v stage build issue not resolved still able reproduce issue n ncredentials used defect tracking admin used defect tracking n n not resolved mov discus triage meeting n nmore per rule set ishidden false n nrules engine rule n n voyagesettings healthcheckin precruise morethanhours n rule tabinformation modulename voyage setting tabinformation isguestboarded false tabinformation embarkdate not null tabinformation embarkdate currentdate pre cruise tabinformation embarkdate hour currentdate health check hour updated tabinformation shipcode vl nset entityname tabinformation nsetrelatedtab healthinformation n set ishidden false n set isenabled false nset iseditable false,"['nskanth n n device', 'rule n n voyagesettings', 'issue not yet completed', 'apk n n n ncan', 'time n n consider embarkationdatetime', 'recording n n stage', 'har n n stage', 'build n n recording', 'credential used n n skgstagejune', 'cert n n v june', 'build fe th june', 'attachment r n embarkation', 'tracking n n not resolved', 'issue qa v stage', 'skgstagejune nskanth n n device', 'enabled n nfunctionality not working', 'rule n n voyagesettings healthcheckin', 'engine rule n n voyagesettings', 'log har n n stage', 'nrefer attachment r n embarkation']"
