Invalid_Comments,Value
bug no valid existing field visible travel tab non mandatory working sync travel information rts defined create bug rule not available,working as expected
stub data used issue not valid,duplicate issue
use new data contact using created early may create new contact retest tested using old data,reproducible or environment issue
issue already existing bug raised hence cancelling bug considering duplicate,cancelling defect
check not taken current sprint involve architectural change look seems performance related issue update analysed issue n nthere bff call cdn video download call taking time give response required render screen n nwe need optimisation call n nattached charles log reference n n dcp chls n ncc track linked bug n nit duplicate closing one since assigned sprint resetting program increment value verified r build still facing loading issue r nrefer attachment r n r nreopening defect r n r nhi r nplease verify end r n r nthanks r nkanchan follow duplicate since dup closing duplicate,duplicate issue
fyi performance issue app would like work determining best way keep arb radar r nfyi dedicate min arb exclusively nfr issue going forward could reporter tag ticket arb review assigning defect look add performance matrix assigning working issue fixed far r n performance sailor app embarkation va call taking response time expected time r n performance sailor app login iam taking time r n r nneed run next round test get latest stats capture since assigned sprint resetting program increment value per comment resolved appears correct detail bug performance issue initial load whcih separate caching issue faster second opening thanks moving p r based slt agreement also retest response taking second cancelled dcp not anything still facing longer load time issue r build not stable n n longer load time n n reopening issue still reproducible latest status n,duplicate issue
not defect expected behavior u test new promotion happening october deposit amount put cert due issue dev environment refer r n r ncc canceling defect per comment,reproducible or environment issue
need discussion proceed case current implementation isn blocker user place almost one guy pls schedule time review item identified thanks guy meeting discus r n r nwe concluded dropdowns should amended follow full screen pattern shown r confirm r n r nthe exception would date picker suggestion either use device native version provide design restyle current dc implementation agree should use full screen pattern provide list instance use n nlist description thanks adding google sheet link might little challenging since currently requiring request access pls attach file n sorry guy thought put shared folder updated link export n nedit added shared folder should access n n bug canceled bug identify issue picker drop down open suggested approach identify item provide update either reopen document separately advise nfyi n reopening thought master bug cover related linked associated bug story opened new recommended change drop throughout app r close bug good close user story track closing due master dropdown issue found,duplicate issue
update detail related issue per approved design no success message supposed displayed ui per current implementation cabin host not taken back dashboard directly marking request cleaning done go back clicking back button confirm expectation explanation correct closing defect current behaviour designed,duplicate issue
refer story supply detail change r n r nfyi closing new master ticket,cancelling defect
tested not face issue r n verify end well ticket closed,duplicate issue
r n r nany update r n r nfyi point address validation check enabled remain enabled prod mean card number should tied valid billing address random address virgin address used get declined tester should use address specified test script provided n nhi sourabh pragya n n country drop list enabled don believe flagged clearly requirement file drop state u refer also list required usa e don ist country free text field n ite closed n addressed n sound like latency issue result using test environment try replicate revert n advise one suggestion keep functionality fexco introduced whereby change country address previously entered address detail not get reset deleted n nregards n npaul could not find bug last item created seperate bug track assigned detail n n n n ui ux issue loader not coming smoothly ui n update country filling address info rest detail not getting reset canceling individual issue tracked separately,duplicate issue
duplicate,duplicate issue
share expected behaviour drop need agree approach discus alfie saloni refer following ticket approach dropdown strategy should not new story work team not make change directly yet r n r nplease open story assign work however note change not taken production release r n r nfyi story created track work let pls not cancel defect unless get agreement team read defect sound like valid defect visa type dropdown covered keyboard not viewed opening defect sailor need able view field r n r nfyi r nto summarise two issue r n visa type field selected drop get covered keyboard agree valid issue got fixed last release r n second issue visa drop not expected still discussed approach finalized plan pick pooja created separate story no specific requirement should drop down behave case wherein open different layover altogether like rts emergency contact int code specific case separated issue per comment dropdown expected behaviour following ticket validated business expectation should fixed public release r n r nadam r n r n moving cert test assigning verification verify maurice superseded following ticket n n n ni close one superseded following,cancelling defect
cancelation flow not developed yet part future sprint r defect fyi,duplicate issue
ticket closed direction sailor app wide dropdown contained within bug,duplicate issue
n nthis defect raised mentioned n n quote time taken cabin host clean cabin must also calculated quote n nif separate user story not implemented yet update accordingly cancel defect user story update reason mentioned average cleaning time feature planned,cancelling defect
bug still detected r n r ndevice iphone x r no r nbuild duplicate duplicate issue,duplicate issue
fyi jfyi haven changed clientid secret working morning could check seems working replicate issue n n yes working update rca able find see issue token time closing bug r n mention issue token avoid future n nwe use token get token api sfmc would getting unauthorized error token invalid expired given didn change anything system assumption token timed expected needed reissued yes understand unauthorized error error thrown whenever token not correct always generate new token min get expired see one generated created able validate credential separately without error thing see don maintain history token won able check n nyes getting validated token getting api working another api also working reproduced close n n yes reopen face issue,working as expected
behavior observed th sept shore thing getting booked without payment infinite loading occurs reservation status go partially paid r nnot able edit booked shore thing r nrefer attachment r n following dependency created review flow back button should removed tap continue prevent ticket back button need removed tap continue screen back button part error handling task backend not respond sec showing back button user go back n nwe think solution suggest discussion already happened client want implemented r n r nfyi okay remove n nbut not bug client ask something error handling part change request right user opened payment module go back excursion also booked n nthis should handled backend n nthe description bug should rewritten open assign maxiru n njust check cert build send november dc n n back btn removed n payment framework open no infinity loop n click back btn excursion booked should handled backend discussed dc vv team approved not correct backend team should fix handle confirm comment backend fix need ensure fixed end end close r nverified bud fix release still facing issue r nhence reopening defect r nrefer attachment item discussed couple day back also shikha reached right booking excursion happens payment processed even payment not done booking already done backend discussed previously seaware team expected done way know booking website cause issue may add detail needed need seaware team advise best handle previously integration get negative reservation id shorex overturned flow request review rafi advise best course action assigning item marked sprint ending today not closed need know clearly item slipping sprint committed ideally item not marked correctly need close slipping sprint need know clearly need close item not continue slip item one sprint another clear need close item sprint team committed thank paul,cancelling defect
per requirement venue type bar tile not show test not assign wake not bug feature r n r nfyi check comment update status closing defect per comment,working as expected
mrz used fetch data not value embedded hence thats something sailor always manually add r n clarify saying n n visa number n visa type n entry n nwill never read via ocr visa scan n n n nfyi n n yes correct cancelling not valid bug dc per defined ocr parameter issue cancelled per comment explanation ocr detail not part visa ocr,duplicate issue
duplicate duplicate,duplicate issue
discussed last triage additional cta appears itinerary contains destination requires visa sailor need rule based calculated passport secondary doc going discus whether itinerary could generated would test feature ie dominical republic one destination help u adding changing rule rule engine cert mexico would require visa non u citizen non green card holder sailor fall rule should see option add another visa u thank n n yes test case tested thank n check sw team sailing used test update something need concerned r could reply maurice comment apology not checking attaching discussion happened sw team long back n n multiple visa n nfyi far remember descoped team development n n still need done n nif not let keep story future implementation requirement not valid anymore need confirmation working expected confirmed invalid defect n n need adding backlog future development itinerary europe,working as expected
duplicate updating issue canceling duplicate scheduled,duplicate issue
p bug client must resolved w sprint r n r nthanks cm issue edge card not visible right get new image card wrong proportion big size transparent margin edge broke port card device n n n n n n partner look task description discussion n n n quote port landing x n port card expected x x actual x x expected file type jpeg n n map expected x x actual x expected file type quote n n ncurrently one partially meet expected int env miami port not client side optimization scaling cropping improve performance margin picture not expected zeplin design share cm api call used could dc team download app int check missing image r ncan check figure wrong r n r nthank moving x no bandwidth sprint verify n n r nplease refer comment r n partner shalini garg look task description discussion landing x r port card expected x x actual x x expected file type jpeg r nfor map expected x x actual x expected file type r ncurrently one partially meet expected int env miami port not client side optimization scaling cropping improve performance r n r nplease arrange provide correct sized image work device r n port landing x r port card expected x x actual x x expected file type jpeg r nfor map expected x x actual x expected file type r n r ncurrently one partially meet expected int env miami port check content side make separate ticket address image resizes like keep bug ticket resolve issue n ni link ticket bug produce n n n nalso see team expect pngs map produced svgs understood should produce n n should produce pngs map n nside note likely heavier svg n n also confirm port card should n nx ar x time produce jpegs n n question confirm drop shadow implemented edge curved see design port card should x ar tablet already time according ui stickersheet,working as expected
expected behavior not sugar mommy daddy defined payment task must partially completed add understanding sailor declared sugar baby perspective rts task complete purpose declaration understand not mean green laned embarkation n nfyi brought topic slt not sugar mommy daddy defined payment task must partially completed not sugar mommy daddy defined fully checked n n n ntherefore not bug working expected n n canceling bug working expected per slt review,duplicate issue
discussed done per current website production phase mean r n search removed r n tab added provided cm team r n background fpo coming cm agree pooja deprioritizing issue good cancel need draft story making change module thought gent assigning tix back adam detail tix n ni revised ticket design focused reassigning back dc resolve n ni creating separate ticket search global removed messenger assigning next sprint giving plan work ui team r nthis related help support need handled updating priority based jira assigning next sprint review planning not reproduced n fixed earlier n fixed n should assigned cm team should receive word span tag make red n fixed n should assigned backend team not get related article n question must sent cm team n n assigned sprint since still committed status n provide update npoint scope point fixed part another bug fix uid updated respective asset nplease assign appropriate person verification retest r n r nfyi tested mostly good go open question n n missing back arrow n something isn still assigned asking question reassign person,reproducible or environment issue
agreed per today demo n clarity should updating design match new requirement time sailor chat descoped not sending notification recommendation not next feedback selection privacy opting wearable collecting data not possible sailor need go sailor service get traditional key card cancel issue based latest comment r n pls work alfie updating documentation thanks canceling based experience requirement deferred scoping,cancelling defect
defect not valid overlay referenced actually variation asset used test content updated changed cm n ni cancelling defect accordingly,duplicate issue
didnt understand bug see screenshot breakfast filter coming current meal period breakfast displayed r n r nfyi,duplicate issue
issue not reproducible u let know following thing device model number resolution testing r n r n issue observed vv device n n ndevice umigidi n nmodel power n nresolution screen ratio x resolution,duplicate issue
cc due null package id addons like insurance oracle etl raised change request correct implemented tested dev moved prod future hence not defect,duplicate issue
n nthanks n nc discussed flow call not changing flow yet see possible option yes understood marked high not urgent blocker n nthanks n nc update ticket r n r nthanks technically redundant due agreed implementation update guess need reject close r nthanks r nc r n r n fyi yes let close,working as expected
n nthanks n nc duplicate should close one r n closing ticket duplicate r nthanks r nc cancelled n nthanks n nc,duplicate issue
apology content publishing task et know convert n nthanks n nc note not case access key n n screenshot n nthanks n nc check campaign update assigning vxp related architecture needed vxp integration logic flow item fixed strategy integration change bug created linked bug confirmation final strategy meeting discus strategy scheduled th sept sprint assigned based meeting outcome issue r ncan trace one yes canceling duplicate work done implementation change story r n r nplease defer close,cancelling defect
duplicate canceling duplicate,duplicate issue
encountered issue via another route io r n item failed sprint goal moving next sprint also non compliance part assignee team make sure update work item unable test due testing cert release bug fix n n select fly n select airline flight number doesn seem validation fake flight number used accepted ba n timeslot selected n parking selected n slot confirmed n one last thing skipped n nreturn partially complete task see screen capture n n return partially completed task n returned planning park error user should returned one last thing n b previously selected timeslot dropped n user selects yes park n user accepts embarkation card timeslot blank tick within cta missing n user skip one thing n user return partially completed task n repeat n nadditional issue n n user follows path selects no last thing n user returned porthole task incorrectly tagged partially complete n user return task issue continues n n febcc c c cdecbed n n ba ac n n r n r nselect fly r nselect airline flight number doesn seem validation fake flight number used accepted ba r n color f well ba actual flight british airway ba london lisbon color r ntimeslot selected r nparking selected r nslot confirmed r none last thing skipped r nreturn partially complete task see screen capture r n color f expected behavior since one last thing mandatory completed user color r n r nreturn partially completed task r nreturned planning park error user should returned one last thing n b previously selected timeslot dropped r n color f case user should returned review screen variation not one last thing screen bug fix next release returning first incomplete step track color r nuser selects yes park r nuser accepts embarkation card timeslot blank tick within cta missing r n color f due skip one thing r nuser return partially completed task r nrepeat r n r nadditional issue r nuser follows path selects no last thing r nuser returned porthole task incorrectly tagged partially complete r nuser return task issue continues r n color f tracked suggest closing ticket bad confused issue multiple comment reassess raise individual report outstanding issue redo full end end testing week retest latest build,duplicate issue
discus update bug nwe waiting final confirmation cancelling bug cancelled cancelled per discussion done,duplicate issue
upgraded blocker release impact payment n ni cant see sailing date validate assume not within day sailing window n nthanks n nc slacked earlier double check sailing observing issue sailing day not see option hr hold payment not able reproduce review update sprint retested safe see pay full hour breather day show option hour breather deposit pay full see pay full closed assuming business rule place clarify,reproducible or environment issue
duplicate,duplicate issue
per calculation day th sep rd jan day bug invalid,duplicate issue
issue share plan get fixed fixed sept th release not able check attachment r n additionally space not developed yet delivered future sprint not urgent priority checked sprint demo well r n r n try window able open winword reading saying cm ready sailorapp development future yes help user story bug raised cm story talk integration sailor app discussed triage issue tested done marking defect deferred,cancelling defect
debug priority working till friday code drop friday started breaking r nwe need repro priority r nthis blocked code promotion prod planned thursday week r nalso want understand ee passing cert basic sailor app ar flow broken triaged issue need confirm venue trying book walk in open state issue also happening open venue need look try wake venue working fine refer video n n n nretest time date may n ni tried add sailor waitlist four different venue n n operational hour data not provided yet venue test kitchen color ff not able add sailor waitlist color n operation hour pm pm venue extra virgin color ff not able add sailor waitlist color n operation hour pm venue razzle dazzle color ff not able add sailor waitlist color n operation hour pm venue wake color able add sailor waitlist color n razzle dazzle n wake n test kitchen n extra virgin n add waitlist n n nso observation seen host should able add sailor waitlist regardless time venue table available n nplease let u know different understanding n nfyi according understand venue trying make walkin test kitchen extra virgin razzle dazzle actually closed session admin n ntested monday th n nthe wake session timing pm opened whole day n nextra virgin session timing pm pm n nthe test kitchen session timing pm pm n nrazzle dazzle session timing lunch pm dinner pm pm n nso reason walkin not made venue unlike wake refer video n n retested defect per n ntesting time pm date may n ninitially session timing pm pm time host not able add sailor waitlist admin change session time pm pm host able add sailor waitlist mean waitlist totally dependent session time refer video n n n nso explain expected behavior asking haven got user story related also nothing mentioned change release note n nfyi explanation make sense walk in added restaurant open point u story ac written explained r n r nalso guy able add walk irrespective operational hour release walk functionality working many sprint release behaviour noticed code drop able add sailor waitlist irrespective timing n nand also mentioned comment operational hour n n q n n also able add walk in irrespective operational hour team talking session timing yes not able add walk in session timing question functionality implemented bad wording meant session timing pls update bug title reflect exact issue right bug title simply say sailor not added waitlist one question expected create session beyond operational hour see operational hour fo razzle dazzle restaurant pm session timing lunch pm dinner pm pm think should not production scenario n nfyi closing issue raising session timing n n,duplicate issue
fyi duplicate cancelled r n,duplicate issue
shared pif pip reservation detail may nd voyage email need cancel reservation inventory available voyage closing,cancelling defect
target assigned,duplicate issue
notification excursion chls n n primary sailor excursion notification not received n n secondary sailor book shore excursion,duplicate issue
cancelling non issue n n screenshot,duplicate issue
analysis api object link video expected link n nattached s reference n n screenshot pm n ncc also animation prod think final asset n n believe final asset booking confirmation could confirm animation expected confirmed should animation white icon black background change based type booking thanks correct asset booking confirmation animation not static asset thanks asper comment restaurant booking confirmation animated video file ext type nplease make change ui reflect correct element screen n ncc done future story n duplicate n n n n n n neverything working u user provided close ticket fine requirement n ncc,working as expected
retest latest hot fix build,reproducible or environment issue
working designed notification page essential reminder privacy page removed n n requirement sprint able view notification privacy screen per design last sprint,working as expected
duplicated issue,duplicate issue
hey actually placeholder content work image originally scheduled completed think round review brought new revision work life n nfrom testing perspective unblocked know not pretty n ncc isn blocking testing n n happy close ticket retest final content populated,duplicate issue
wrong bug animation not applicable opening payment module outside app user not rts anymore help check bug able add animation faxco ui n nfyi assigned provide exact requirement fexco along change requested double back button still waiting design comp poke replace double back arrow linked current proposal sam ticket taking alfie later today n na flip design approved alfie updated design happy take guy question n nthe design uploaded zeplin n n full flow n screen nincomplete back back thanks sharing updated design particular defect also mention progress animation expected behavior credit card screen n n review updated design provided n ncan get username password access zeplin n nregards n npaul give zeplin access progression bar behaviour would n n st bar adding detail card n nd bar hotting done completing adding card flow n na n nthe rts design delivered based original requirement per n ni currently documenting required change issue vv team approval via change managed story rather bug n nregards n npaul n nfyi,cancelling defect
changing status backlog vv assign sprint dc update status confirm coming cm nwe use uid ui title n check data not coming cm n ni see come n n wearabledelivery travelpartymemberdeliverydetailsprohibitedcountryheadline n text band delivery n type plaintext n n hello nkindly ask help correct uid use confusion internally use ui thanks already using believe not getting data cm r n r n check data uid available lower env environment specifically would like u check n n would mind taking look since don access bug created prod reverified cert good close not yeah definitely ready review yet ticket kicked back lee check busy developer confirmed using correct uid even not fix done ok ill check cert get working test user account sailing im currently blocked moment,duplicate issue
havent able duplicate issue qa try replicate side n n team try replicate issue cruise booking two sailor one take pic uploads profile seems like see wrong pic pls let u know thanks retested issue qa cert environment build number n ni created booking two sailor n jhon douglous jhon douglous account created sf n n harry kim harry kim n nbooking id profile pic uploaded sailor n not reflecting sailor ni not able reproduce issue qa nenvironment n n not reproducible n n aca f ba fdbc tester unable reproduce,reproducible or environment issue
related u removing chart j yes expect side effect able wait sergey back office next week address duplicate,duplicate issue
fix talking shiv explained error coming visionline not control vision line rejecting rfid nothing wms n nwe need understand vision line rejecting request given rfid also don think vision line allows u reuse rfid unassigned clarify vision line missing something also thought data issue mentioned comment n n use fresh wearable encoding not try n nin addition detail ticket misleading encoding failing not assignment verify uncheck include encoding checkbox assignment see success based analysis shiv thanks detailed analysis talking fixing wms not able assign card main business scenario wms failing right whether fix vision line need fixed business use wms cert r n r nare saying working fresh wearable let u know r n r n let u know external ticket talking vision line r n r n r n r n spoke perform test let wait result able conclude everything related ticket multiple issue reported analyzed related rd party data issue thanks good pas wms module next update current state n n n vision line work fine using fresh wearable n guest access card number not available db caused issue first issue n found issue something broken crew framework raising issue maxiru team n n thanks,duplicate issue
since maxiru providing ui accessing swank api need raise issue maxiru escalate swank needed open support ticket swank email support zendesk support zendesk n n fyi include sample request response possible thanks following swank,duplicate issue
increasing priority health check should enabled setting prior hour help check rule added rule engine n nthe health information tab voyage setting must open hour embarkation date time n n consider embarkationdatetime not embarkation date n nthen sync home page update planned yes fyi also reproduced stage build n n recording n n stage health check issue chrome inspect log har n n stage health check issue not yet completed still progress yup added working expected vv qa sailor app mobile v apk n n n ncan revalidate latest build retested build observed embarkation health check not enabled sailing document expected complete health form not enabled pre cruise working fine cert n n v june cert build n nattached video n nneed test stage verified prod issue exists r nrefer attachment r n embarkation health check credential used n n skgstagejune skgstagejune nskanth n n device used android n nverified stage build fe th june build observed embarkation health check sailing document enabled n nfunctionality not working expected fe tested fe tested issue qa v stage build issue not resolved still able reproduce issue n ncredentials used defect tracking admin used defect tracking n n not resolved mov discus triage meeting n nmore per rule set ishidden false n nrules engine rule n n voyagesettings healthcheckin precruise morethanhours n rule tabinformation modulename voyage setting tabinformation isguestboarded false tabinformation embarkdate not null tabinformation embarkdate currentdate pre cruise tabinformation embarkdate hour currentdate health check hour updated tabinformation shipcode vl nset entityname tabinformation nsetrelatedtab healthinformation n set ishidden false n set isenabled false nset iseditable false,reproducible or environment issue
close bug verified working issue verified fixed working expected,reproducible or environment issue
issue already tracked another ticket opened gloria dc need finish work point new layout screen cancelling since duplicate,duplicate issue
since text overlaying wrong may nonissue correct hero animation loaded retested cancelling,duplicate issue
studio publishing ticket replace fitness mood image cm n nthis work aki n ngoing cancel reopen doesn work,cancelling defect
changing status backlog dc update status took one maxiru jira help cancelled not reproduce bakai approved vv tablet samsung galaxy tab n nadded video build possible could ask reported check issue still relevant not reproduce thank retest not reproducible u communicate cigniti thank build added ticket v not think done anything fix r n r n confirm r n r n don fix not not plan start check issue not reproduce u don apply fix n nrequest help u validate still reproduce build custom shared roman not work build should work fine,reproducible or environment issue
known issue release note cancel bug duplicate r n closing defect per comment,cancelling defect
clarify issue see done per requirement check added zeplin screenshots check added zeplin link kien message one not issuev per comment not issue hence cancelling,duplicate issue
issue exalated changing status backlog vv assign sprint dc update status wrong issue showing user profile photo never requirement nwe taking asset cm n n n n nfyi provide charles log no sorry don create charles log n nfyi check bug seems like cr u need removing sprint check defect not didn requirement using profile logout modal think good suggestion need story feature leveraging profile pic security pic replace avatar create story feature pls analyse cancel one create story grooming take one marking closed created dev story also linked n na,cancelling defect
redshift change assigning back need view challenge not handled existing view tableau n nsecondly production issue team fix guide necessary well should not need view anymore way get package sail using reservation dim however wanted know view empty discussed scrum call today cancel defect view not needed,cancelling defect
need add charles log based next last day cruise share charles log need retested implemented cancel bug retest user story completes,cancelling defect
activity post wynwood graffiti art experience occurring booking synced sw also capacity value received sw therefore available count showing value valid scenario n n believe fully aware scenario explained sw one meeting therefore request cancel ticket n nfyi n nin bimini heritage cultural tour available showing color ff color confirmed sailor available n n could confirm deepak comment yes negative overbooked explain tomorrow call,cancelling defect
ar issue n nfyi bulk comment moving undone p p item release r n r n r nplease check issue should fix release build r n r nwhy cancel issue data issue create ticket seaware team fixed mark close assign back u verification r nthe issue come vv team r n r nfyi r n r n getting duplicate slot data seaware ar nothing told seaware team many time different team member get request create data not knowing duplicate slot get created sw system inventory data get synced ar issue observed cert environment past notified vv team also thus cancelled bug n nfyi assign alexandar saip remove duplicate slot seaware not expected keep luis also loop decided duplicate slot expected suggest seaware duplicate slot check vedio detail activity show duplicate slot time slot suggest duplicate slot activity seaware desired behaviour shouldnt duplicate slot time given excursion adding manages shore thing setup sw n nandrea take look setup seaware shore thing confirm duplicate time slot thanks discussed seaware call one data issue seaware go data cleanup no action may taken,reproducible or environment issue
check call n n bulk comment moving undone p p item release r n r nany update r n r n update issue r n r nfyi checked qa env android env int also unable reproduce issue tested int environment android build could not reproduce,reproducible or environment issue
should check backend time should trigger sending pn ui team don control help fix n nbother sailor device nno push notification either app banner o notification nno record app notification center discussed reducing p need plan notification tested working fine pls check listed scenario per requirement ma support last nothing related ma first scenario n ndo let u know scenario problem coming needed discus discussed team six scenario notification generated among generated ma tested delivered first two look like not implemented insight work pls link otherwise need taken cr bug refers nd scenario n n immediately post boarding embarkation n minute post boarding embarkation n minute muster drill ma n assembly drill start ma n assembly drill end ma n emergency ma n nassigning plan n nfyi per ticket discus stackholder assigning better tracking n n scenario part story scenario also part story message missing airtable created address gap cancel defect n n thank n nfyi thanks info minute notification change recent thing little concern aren aware business decision testing app based knowledge signed experience likely lead confusion unnecessary testing plus documentation date n ni sure scenario relatively small would great consider method ensure alignment across team change vv business requirement apology late response minute notification original requirement timing configurable gap no message created notification airtable failing revisited marketing decision keep make minute instead minute new message added airtable satisfy requirement thus went ahead created new feature story experience standpoint no change made everyone aware signed experience need stick n n,cancelling defect
want check profile photo security photo idfferent n nprofile photo medium item id fetched user profile iam security photo guest multimedia n nsecurity photo not set automation not returned response returned julia n n n screenshot pm n n screenshot pm hutchinson nin cabin tablet show guest security pic not present user automation pls upload security picture automation show cabin tablet well thanks nfor muster flow guest security pic picked supposed available guest pls confirm business understanding correct refer design thank r nit discussed yesterday should give priority profile picture available security profile not available show security picture r n r nbut giving priority profile picture not part original discussion r nplease create story r n r nfyi r n r n n nin instance sailor uploaded profile image should shown included screenshots app sailor showing profile image n ni not want contradict documented create development story based conversation yesterday need understand feature epic want create let know n na showing profile picture not part requirement r nwe showing security picture provide story id requirement original feature n n feature enter new story n n dont believe requirement use profile pic original feature gap let add feature separate story add dev story feature align using profile pic throughout app thanks done new story created n nclosing ticket n na,cancelling defect
cancel bug already story n nyes watched state part story happy cancel ticket n n,cancelling defect
issue reproducible cert v build well r ntest data used r nkanchanmay admin r nreservation number r n r n issue exalated changing status backlog vv assign sprint dc update status no requirement deferred call need backend done first no requirement r n r ncan story r n r n dont requirement prevent someone using previous pin fyi sound like good feature put backlog thanks thank providing info believe gap dxp functionality work versus design experience rule alluded wasn one accounted since using pin validating use app not monetary transaction didnt think necessary security measure n n help u understand interpretation correct gap functionality actually work dxp functionality not dcp either r ni not know story different people involved story not part organization r n r ncan remove story well thanks clarification wasnt sure new function supported dxp yes go ahead update story think qa thank well maintain reference original story not sure dc created original story awesome update done thank r n based comment cancel bug,cancelling defect
mini player never close serial done previous requirement mention flow work movie n nand series player mini player refactored final requirement come n n n nso let close one track ticket thanks one should close one dcp should changed story requirement vv should work n n n nre assign back bug cancelled update well hope know creator cancel bug hence assigned bug back creator cancelling already existing,cancelling defect
requirement shore side connect sailor reservation qr code scanned single sailor reservation n nwhereas ship one one connection mean connect sailor whose qr code scanned n nand per charles call shore side n nseems like invalid bug n n n n requirement shore side connect sailor reservation qr code scanned single sailor reservation n nwhereas ship one one connection mean connect sailor whose qr code scanned n nand per charles call shore side n nseems like invalid bug n n n n needful r ndo user story shore side requirement r n nopes don n provide user story comment correct invalid bug r nthis implemented log back not able find story still looking r n r n help confirm bug check comment r ncould confirm shore side behavior qr code scan per understanding qr code unique sailor scanning x person qr code x person should get added contact r nand no different behavior shore ship qr code scanning adding sailor contact r n r n could confirm qr code scan behavior shore side behavior describing shoreside correct seaware keep track sailor booking level shipboard vxp keep track sailor individual level aware difference behavior app working expected scenario thanks cancelling issue working expected,cancelling defect
check history transaction reservation causing payment status changing even though balance not show underpaid n nbelow pricing summary look like invoice price settlement issue n n code xml xml version encoding utf standalone yes n vx ota resretrievers xmlns vx xmlns n xmlns n echotoken timestamp targetname seaware version correlationid eb eb bd efefddf primarylangid eng n vx success n vx reservationslist n n vx paymentoptions n vx paymentoption referencenumber paymenttype paymenttransactiontypecode charge n vx paymentamount currencycode usd amount n vx paymentoption n vx paymentoption referencenumber paymenttype paymenttransactiontypecode charge n vx paymentamount currencycode usd amount n vx paymentoption n vx paymentoption referencenumber paymenttype paymenttransactiontypecode refund n vx paymentamount currencycode usd amount n vx paymentoption n vx paymentoption referencenumber paymenttype paymenttransactiontypecode charge n vx paymentamount currencycode usd amount n vx paymentoption n vx paymentoption referencenumber paymenttype paymenttransactiontypecode charge n vx paymentamount currencycode usd amount n vx paymentoption n vx paymentoptions n vx reservationinfo n vx paymentsdue n vx paymentdue amount paymentnumber n vx paymentdue amount paymentnumber n vx paymentdue amount paymentnumber n vx paymentdue amount paymentnumber n vx paymentdue amount paymentnumber n vx paymentdue amount paymentnumber duedate n vx paymentdue amount paymentnumber duedate n vx paymentsdue n vx cruisereservation n vx reservationslist n vx ota resretrievers code n n nthanks nfyi jira opened day time created sailor deposited paid full review log prior repriced refunded sailor difference no price increase should not see pip status regardless refund transaction since change sailor reservation cancelled reinstated n nthanks information jira still looking provide status earliest analyzed detail reservation per current status canceled state n nbut per previous detail reservation nfollowing price bifurcation n payment status code type balance amount n net balance due n gross balance due n invoice total n commission total n charge total n deposit amount n deposit amount n n n naccording detail n n color paid color n n currencycode usd amount n currencycode usd amount n currencycode usd amount n currencycode usd amount n n color ff refund color n n currencycode usd amount n ntotal paid refund n n n njfr status table n nabove comment link direct statuscode value mapping receive seaware case check one case total due equal zero return final status pif n nactual final amount basis price bifurcation status code pip valid status n analyzed detail reservation per current status canceled state n nbut per previous detail reservation nfollowing price bifurcation n payment status code type balance amount n net balance due n gross balance due n invoice total n commission total n charge total n deposit amount n deposit amount n n n naccording detail n n color paid color n n currencycode usd amount n currencycode usd amount n currencycode usd amount n currencycode usd amount n n color ff refund color n n currencycode usd amount n ntotal paid refund n n n njfr status table n nabove comment link direct statuscode value mapping receive seaware case check one case total due equal zero return final status pif n nactual final amount basis price bifurcation status code pip valid status n nfyi review kapil analysis let u know closed reservation active status reinstated payment already collected reservation reservation paid full see refund cancel reinstate required two payment bring invoice total n nthe sailor called prior change last payment invoice paid full time sailor should not paid partial status last payment confirmed invoice not change original requested info verified not addressed verify total provided message sailor observation n nthanks update issue since last comment haven heard anything request status re changed since jira opened not able get confirmation update prior cancel rebook re question outdated point n n thanks case close defect see similar issue come let u know triage asap,working as expected
confirm change earlier name field reason visit visit purpose far remember discussed call keep visit purpose change dropdown test field visit purpose alright instead reason visit dont agree serverity should low thought yes visit purpose free text field course need match excel sheet bulk upload discussed stakeholder fine showing visit purpose should good confirming visit purpose b e freefill text field yes talking verbiage field per user story visit purpose dropdown should replaced reason visit text field not aligning verbiage reason visit showing visit purpose final verdict act ticket keep visit purpose freetext field n n n nfyi close one update story,cancelling defect
report sf team missing mapping look like cred using not valid vxp let discus today call shared lois vv internal testing mention work correct join sailor app voip call session archana discus thanks ship side need link booking logged user mxp user not sync vxp iam user ok check ship side need link booking logged user n nworks fine credential provided vv step already check sign user n n jr ovalle jr ovalle ndexter n non ship wifi bookinginfo empty array mention time slack issue email should check thanks sign make connection booking should work without make booking check prod user connect booking booking must persist db not happening dont really understand issue needed explain check booking not persisting prod ship env per comment seems issue saving userbooking ship side confirm n nalso share detail like booking made n nplease share correlationid possible share log charles kibana well,duplicate issue
error say reservation detail not present n number n n n n either reservation number incorrect detail not vxp system n n think need check reservation look like mxp reservation mean created mxp first need check sailing deatails exalating look like embarkation service call n nfyi reservation available ship not shore call mentioned ticket shore call confirm call correct mentioned might created mxp n n n n u get reservation number prod not getting response api n n luis work vv voip testing session n nthis account work account not working ship side mxp reservation available ship side not work send information ticket email vv check issue pas sign ship wifi pas n bookinginfo nbut user booking n na user reservation id n n check valid scenario discussed yesterday meeting reservation mxp reservation no connected booking previously due booking info getting blank using connect booking feature able connect booking not bug assigning bug back cancel r nthanks,duplicate issue
